词语, 词性种类, 词义数, 词义序号, 情感分类, 强度, 极性, 辅助情感分类, 强度, 极性, , , 
诱导, verb, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
心悦诚服, adj, 1.0, 1.0, PD, 3.0, 1.0, , , , , , 
马首是瞻, idiom, 1.0, 1.0, PD, 3.0, 0.0, , , , , , 
居高不下, idiom, 1.0, 1.0, NE, 1.0, 2.0, , , , , , 
美意延年, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
福寿双全, idiom, 1.0, 1.0, PK, 3.0, 1.0, PD, 3.0, 1.0, , , 
福禄双全, idiom, 1.0, 1.0, PK, 3.0, 1.0, PD, 3.0, 1.0, , , 
先行者, noun, 1.0, 1.0, PD, 5.0, 1.0, PH, 5.0, 1.0, , , 
依顺, verb, 1.0, 1.0, PD, 3.0, 1.0, PG, 3.0, 1.0, , , 
亮节高风, noun, 1.0, 1.0, PD, 5.0, 1.0, PH, 5.0, 1.0, , , 
拜候, verb, 1.0, 1.0, PD, 5.0, 1.0, , , , , , 
拜望, verb, 1.0, 1.0, PD, 5.0, 1.0, , , , , , 
心静, adj, 1.0, 1.0, PE, 3.0, 0.0, , , , , , 
宽心, verb, 1.0, 1.0, PE, 1.0, 0.0, , , , , , 
逍遥, adj, 1.0, 1.0, PA, 5.0, 0.0, , , , , , 
和蔼可亲, adj, 1.0, 1.0, PE, 1.0, 1.0, PH, 5.0, 1.0, , , 
和易, adj, 1.0, 1.0, PH, 3.0, 1.0, PE, 1.0, 1.0, , , 
独善其身, prep, 1.0, 1.0, PE, 3.0, 3.0, NN, 1.0, 3.0, , , 
仰不愧天, adj, 1.0, 1.0, PE, 7.0, 1.0, , , , , , 
若无其事, idiom, 1.0, 1.0, PE, 3.0, 1.0, , , , , , 
一方平安, noun, 1.0, 1.0, PE, 5.0, 1.0, , , , , , 
安居, adj, 1.0, 1.0, PE, 5.0, 1.0, PA, 5.0, 1.0, , , 
怀念, verb, 1.0, 1.0, PF, 3.0, 0.0, , , , , , 
驰念, verb, 1.0, 1.0, PF, 1.0, 0.0, , , , , , 
牵肠挂肚, idiom, 1.0, 1.0, PF, 9.0, 0.0, , , , , , 
翘足引领, idiom, 1.0, 1.0, PF, 7.0, 0.0, , , , , , 
白云亲舍, idiom, 1.0, 1.0, PF, 7.0, 0.0, , , , , , 
信从, verb, 1.0, 1.0, PG, 3.0, 0.0, , , , , , 
真实, adj, 1.0, 1.0, PG, 3.0, 1.0, PH, 5.0, 1.0, , , 
无可非议, idiom, 1.0, 1.0, PG, 3.0, 0.0, , , , , , 
无可争议, idiom, 1.0, 1.0, PG, 9.0, 0.0, , , , , , 
昂扬, adj, 1.0, 1.0, PH, 5.0, 1.0, PA, 3.0, 1.0, , , 
抱负, noun, 1.0, 1.0, PK, 5.0, 1.0, , , , , , 
博学多才, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
称赞, verb, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
崇高, adj, 1.0, 1.0, PH, 7.0, 1.0, PD, 7.0, 1.0, , , 
豪壮, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
干劲, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
豪情, noun, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
持之以恒, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
光彩, noun, 1.0, 1.0, PH, 5.0, 1.0, PB, 7.0, 1.0, , , 
机警, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
简洁, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
兢兢业业, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
闯将, noun, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
大无畏, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
典雅, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
废寝忘食, idiom, 1.0, 1.0, PH, 7.0, 1.0, PD, 1.0, 1.0, , , 
富强, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
刻苦, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
恳切, adj, 1.0, 1.0, PH, 5.0, 1.0, PG, 3.0, 1.0, , , 
雷厉风行, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
玲珑剔透, adj, 1.0, 1.0, PH, 7.0, 1.0, PB, 3.0, 1.0, , , 
茂盛, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
温情, noun, 1.0, 1.0, PB, 5.0, 1.0, PE, 1.0, 1.0, , , 
焕发, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
好整以暇, adj, 1.0, 1.0, PH, 9.0, 1.0, PE, 5.0, 1.0, , , 
沉毅, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
秀丽, adj, 1.0, 1.0, PH, 5.0, 1.0, PB, 3.0, 1.0, , , 
华美, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
矜持, adj, 1.0, 1.0, NG, 5.0, 1.0, , , , , , 
好玩, adj, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
鹏程万里, idiom, 1.0, 1.0, PK, 5.0, 1.0, , , , , , 
气冲霄汉, idiom, 1.0, 1.0, PH, 7.0, 1.0, PD, 3.0, 1.0, , , 
谦虚, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
勤快, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
全心全意, adv, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
任人唯贤, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
舍生忘死, adj, 1.0, 1.0, PH, 7.0, 1.0, PD, 3.0, 1.0, , , 
恩重如山, adj, 1.0, 1.0, PG, 7.0, 1.0, PD, 3.0, 1.0, , , 
目不转睛, adj, 1.0, 1.0, PB, 7.0, 1.0, , , , , , 
尊老爱幼, adj, 1.0, 1.0, PH, 5.0, 1.0, PD, 3.0, 1.0, , , 
孝子贤孙, noun, 1.0, 1.0, PH, 5.0, 1.0, PD, 3.0, 1.0, , , 
视死如归, adj, 1.0, 1.0, PH, 7.0, 1.0, PD, 3.0, 1.0, , , 
丸泥封关, idiom, 1.0, 1.0, PE, 5.0, 0.0, , , , , , 
蔚然, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
无敌, adj, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
海涵, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
雅观, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
异彩, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
用功, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
赞佩, verb, 1.0, 1.0, PH, 5.0, 1.0, PD, 3.0, 1.0, , , 
仗义执言, idiom, 1.0, 1.0, PH, 5.0, 1.0, PD, 3.0, 1.0, , , 
忠厚, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
贤德, noun, 1.0, 1.0, PH, 5.0, 1.0, PD, 3.0, 1.0, , , 
贤惠, adj, 1.0, 1.0, PH, 5.0, 1.0, PD, 1.0, 1.0, , , 
好心, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
磊落, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
爽气, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
圣洁, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
忠义, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
厚道, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
浑朴, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
宽厚, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
好说话, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
英勇, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
壮士, noun, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
宽宏, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
傲骨, noun, 1.0, 1.0, PH, 5.0, 1.0, PD, 3.0, 1.0, , , 
英气, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
深挚, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
披胆, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
中允, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
圆通, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
雄威, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
安分守己, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
俭省, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
端重, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
正统, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
洪亮, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
甘美, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
坚韧, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
坚定不移, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
救灾恤邻, idiom, 1.0, 1.0, PH, 7.0, 1.0, PD, 3.0, 1.0, , , 
团队精神, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
有生气, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
严格, adj, 1.0, 1.0, PH, 3.0, 0.0, , , , , , 
情面难却, idiom, 1.0, 1.0, PH, 5.0, 1.0, NG, 3.0, 1.0, , , 
真情实意, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
千恩万谢, idiom, 1.0, 1.0, PH, 5.0, 1.0, PD, 3.0, 1.0, , , 
警戒, noun, 1.0, 1.0, NC, 3.0, 0.0, , , , , , 
扼要, adj, 1.0, 1.0, PH, 1.0, 0.0, , , , , , 
光滑, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
宽敞, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
浓密, adj, 1.0, 1.0, PH, 3.0, 0.0, , , , , , 
切实, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
柔软, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
显眼, adj, 1.0, 1.0, PH, 5.0, 0.0, , , , , , 
兴旺, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
湛蓝, adj, 1.0, 1.0, PH, 1.0, 1.0, , , , , , 
澄澈, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
从紧, adj, 1.0, 1.0, PH, 1.0, 0.0, , , , , , 
清丽, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
矫捷, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
悠悠, adj, 1.0, 1.0, PE, 5.0, 0.0, , , , , , 
英杰, noun, 1.0, 1.0, PH, 7.0, 1.0, PD, 3.0, 1.0, , , 
群英, noun, 1.0, 1.0, PH, 5.0, 1.0, PD, 3.0, 1.0, , , 
公正无私, adj, 1.0, 1.0, PH, 5.0, 1.0, PD, 3.0, 1.0, , , 
枵腹从公, idiom, 1.0, 1.0, PH, 5.0, 1.0, PD, 3.0, 1.0, , , 
仗义疏财, verb, 1.0, 1.0, PH, 7.0, 1.0, PD, 3.0, 1.0, , , 
帮困, verb, 1.0, 1.0, PH, 3.0, 0.0, , , , , , 
解救, verb, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
救难, verb, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
沁入心扉, adj, 1.0, 1.0, PH, 3.0, 1.0, PE, 1.0, 1.0, , , 
叹赏, verb, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
时髦, adj, 1.0, 1.0, PH, 5.0, 1.0, PB, 1.0, 1.0, , , 
清秀, adj, 1.0, 1.0, PH, 5.0, 1.0, PB, 1.0, 1.0, , , 
亮丽, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
光彩夺目, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
多姿, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
清廉, adj, 1.0, 1.0, PH, 5.0, 1.0, PD, 1.0, 1.0, , , 
清正, adj, 1.0, 1.0, PH, 5.0, 1.0, PD, 1.0, 1.0, , , 
硬骨头, noun, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
涅而不缁, adj, 1.0, 1.0, PH, 7.0, 1.0, PD, 3.0, 1.0, , , 
雅俗, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
贤哲, noun, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
玉洁冰清, adj, 1.0, 1.0, PH, 5.0, 1.0, PD, 3.0, 1.0, , , 
振振有词, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
固若金汤, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
国富民安, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
准确无误, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
凌厉, adj, 1.0, 1.0, PH, 5.0, 0.0, , , , , , 
撼天动地, adj, 1.0, 1.0, PC, 7.0, 0.0, , , , , , 
千古不朽, adj, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
极负盛誉, adj, 1.0, 1.0, PH, 7.0, 1.0, PD, 3.0, 1.0, , , 
抢手, adj, 1.0, 1.0, PH, 1.0, 1.0, , , , , , 
质优价廉, adj, 1.0, 1.0, PH, 7.0, 1.0, PB, 3.0, 1.0, , , 
道地, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
完美无缺, adj, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
俱佳, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
超群绝伦, adj, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
天下无双, adj, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
别具一格, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
一是一, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
有目共赏, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
谐美, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
匠心独具, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
琅琅上口, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
再生父母, noun, 1.0, 1.0, PH, 7.0, 1.0, PD, 3.0, 1.0, , , 
昂然, adj, 1.0, 1.0, PH, 5.0, 1.0, PA, 5.0, 1.0, , , 
板正, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
褒誉, noun, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
宝山, noun, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
爆满, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
愤愤不平, adj, 1.0, 1.0, NA, 5.0, 0.0, , , , , , 
啧有烦言, idiom, 1.0, 1.0, NN, 5.0, 2.0, NE, 3.0, 2.0, , , 
暴怒, adj, 1.0, 1.0, NA, 9.0, 2.0, , , , , , 
愤怒, adj, 1.0, 1.0, NA, 5.0, 0.0, , , , , , 
恼火, adj, 1.0, 1.0, NA, 5.0, 0.0, , , , , , 
气冲冲, adj, 1.0, 1.0, NA, 5.0, 0.0, , , , , , 
义愤, adj, 1.0, 1.0, NA, 7.0, 0.0, , , , , , 
挂气, adj, 1.0, 1.0, NA, 1.0, 0.0, , , , , , 
愤愤, adj, 1.0, 1.0, NA, 5.0, 2.0, NN, 5.0, 2.0, , , 
私愤, noun, 1.0, 1.0, NA, 5.0, 0.0, , , , , , 
赌气, verb, 1.0, 1.0, NA, 5.0, 2.0, , , , , , 
横眉, noun, 1.0, 1.0, NA, 5.0, 0.0, , , , , , 
一刀两段, adj, 1.0, 1.0, NA, 5.0, 2.0, ND, 5.0, 2.0, , , 
一气一个死, idiom, 1.0, 1.0, NA, 9.0, 0.0, , , , , , 
火箭筒射击－两头冒火, idiom, 1.0, 1.0, NA, 5.0, 0.0, , , , , , 
怫然作色, adj, 1.0, 1.0, NA, 3.0, 2.0, , , , , , 
怒气冲冲, adj, 1.0, 1.0, NA, 5.0, 2.0, , , , , , 
义愤填膺, adj, 1.0, 1.0, NA, 5.0, 2.0, , , , , , 
上等轮胎－有气难出, idiom, 1.0, 1.0, NA, 3.0, 2.0, NE, 1.0, 2.0, , , 
誓不两立, idiom, 1.0, 1.0, ND, 7.0, 0.0, NA, 3.0, 0.0, , , 
伤心, adj, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
悲切, adj, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
溃不成军, adj, 1.0, 1.0, NI, 7.0, 2.0, , , , , , 
哀鸣, verb, 1.0, 1.0, NB, 9.0, 0.0, , , , , , 
苦涩, adj, 1.0, 1.0, NB, 1.0, 2.0, NE, 3.0, 2.0, , , 
痛诉, verb, 1.0, 1.0, NN, 9.0, 0.0, , , , , , 
黯然销魂, adj, 1.0, 1.0, NB, 9.0, 0.0, , , , , , 
抱委屈, adj, 1.0, 1.0, NB, 1.0, 0.0, , , , , , 
肠断, adj, 1.0, 1.0, NB, 9.0, 0.0, , , , , , 
忧悒, adj, 1.0, 1.0, NB, 3.0, 2.0, NE, 3.0, 2.0, , , 
自卑, adj, 1.0, 1.0, NJ, 3.0, 2.0, NN, 3.0, 2.0, , , 
啼泣, verb, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
悲泣, adj, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
号哭, verb, 1.0, 1.0, NB, 9.0, 0.0, , , , , , 
涕泗滂沱, adj, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
芝焚蕙叹, idiom, 1.0, 1.0, NB, 5.0, 1.0, , , , , , 
苦难, noun, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
生不逢辰, idiom, 1.0, 1.0, NB, 3.0, 0.0, , , , , , 
尽付东流, idiom, 1.0, 1.0, NB, 5.0, 2.0, , , , , , 
依依惜别, idiom, 1.0, 1.0, NB, 3.0, 0.0, , , , , , 
分香卖履, idiom, 1.0, 1.0, NB, 7.0, 0.0, , , , , , 
孤立, adj, 1.0, 1.0, NB, 1.0, 0.0, , , , , , 
痛心入骨, adj, 1.0, 1.0, NB, 9.0, 0.0, NA, 3.0, 0.0, , , 
悼心失图, adj, 1.0, 1.0, NB, 9.0, 0.0, , , , , , 
罐子里头点蜡烛－暗中流泪, idiom, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
吃了黄连对人说－诉苦, idiom, 1.0, 1.0, NB, 1.0, 0.0, , , , , , 
光身子钻刺蓬－有刺又痛, idiom, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
疏远, adj, 1.0, 1.0, NB, 3.0, 0.0, , , , , , 
冤沉海底, idiom, 1.0, 1.0, NB, 5.0, 0.0, NE, 3.0, 0.0, , , 
寂廖, adj, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
败谢, verb, 1.0, 1.0, NB, 5.0, 0.0, NJ, 1.0, 0.0, , , 
惨笑, verb, 1.0, 1.0, NB, 7.0, 0.0, , , , , , 
六神无主, idiom, 1.0, 1.0, NC, 7.0, 0.0, NI, 3.0, 0.0, , , 
后怕, adj, 1.0, 1.0, NC, 5.0, 0.0, NI, 3.0, 0.0, , , 
恐惧, adj, 1.0, 1.0, NC, 5.0, 0.0, , , , , , 
谈虎色变, idiom, 1.0, 1.0, NC, 5.0, 0.0, , , , , , 
闻风丧胆, idiom, 1.0, 1.0, NC, 9.0, 0.0, , , , , , 
畏缩, adj, 1.0, 1.0, NC, 3.0, 0.0, , , , , , 
亡魂丧胆, idiom, 1.0, 1.0, NC, 9.0, 0.0, NI, 3.0, 0.0, , , 
慑服, adj, 1.0, 1.0, NC, 1.0, 2.0, , , , , , 
打呼噜听见放炮－吓人一跳, idiom, 1.0, 1.0, NC, 3.0, 0.0, PC, 1.0, 0.0, , , 
血淋淋, adj, 1.0, 1.0, NC, 3.0, 0.0, NI, 1.0, 0.0, , , 
惊愕失色, idiom, 1.0, 1.0, NC, 5.0, 0.0, , , , , , 
惊心惮胆, idiom, 1.0, 1.0, NC, 9.0, 0.0, , , , , , 
人人自危, idiom, 1.0, 1.0, NC, 3.0, 2.0, , , , , , 
任重道远, idiom, 1.0, 1.0, PH, 5.0, 1.0, PD, 3.0, 1.0, , , 
跋扈, adj, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
暴行, noun, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
草菅人命, idiom, 1.0, 1.0, NN, 9.0, 2.0, ND, 7.0, 2.0, , , 
丑陋, adj, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
勾引, verb, 1.0, 1.0, ND, 1.0, 2.0, , , , , , 
含沙射影, idiom, 1.0, 1.0, ND, 1.0, 2.0, NN, 1.0, 2.0, , , 
毁谤, verb, 1.0, 1.0, ND, 3.0, 2.0, , , , , , 
大肆, adv, 1.0, 1.0, NN, 3.0, 2.0, ND, 1.0, 2.0, , , 
毒辣, adj, 1.0, 1.0, ND, 9.0, 2.0, , , , , , 
反动, adj, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
奉承, verb, 1.0, 1.0, ND, 3.0, 2.0, , , , , , 
狼子野心, idiom, 1.0, 1.0, ND, 3.0, 2.0, , , , , , 
流氓, noun, 1.0, 1.0, ND, 3.0, 2.0, , , , , , 
反感, adj, 1.0, 1.0, ND, 3.0, 2.0, NA, 1.0, 2.0, , , 
恶心, adj, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
痛恨, verb, 1.0, 1.0, ND, 9.0, 0.0, , , , , , 
嚣张, adj, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
欺负, verb, 1.0, 1.0, ND, 5.0, 2.0, NN, 5.0, 2.0, , , 
痛心疾首, idiom, 1.0, 1.0, NB, 9.0, 0.0, , , , , , 
怨毒, noun, 1.0, 1.0, ND, 5.0, 0.0, , , , , , 
青面獠牙, idiom, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
人面兽心, idiom, 1.0, 1.0, NN, 9.0, 2.0, ND, 9.0, 2.0, , , 
杀戮, verb, 1.0, 1.0, ND, 5.0, 2.0, NN, 5.0, 2.0, , , 
滔天, adj, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
睚眦, verb, 1.0, 1.0, NA, 5.0, 0.0, , , , , , 
歪缠, verb, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
妄自尊大, idiom, 1.0, 1.0, NN, 3.0, 2.0, ND, 3.0, 2.0, , , 
文侩, noun, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
无所不用其极, idiom, 1.0, 1.0, NN, 7.0, 2.0, ND, 9.0, 2.0, , , 
扬言, verb, 1.0, 1.0, ND, 5.0, 2.0, NN, 3.0, 2.0, , , 
张牙舞爪, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
罪恶滔天, idiom, 1.0, 1.0, NN, 9.0, 2.0, ND, 9.0, 2.0, , , 
小看, verb, 1.0, 1.0, NN, 1.0, 2.0, , , , , , 
视如粪土, idiom, 1.0, 1.0, ND, 9.0, 2.0, , , , , , 
残毒, adj, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
可气, adj, 1.0, 1.0, NA, 3.0, 2.0, , , , , , 
贪吃, adj, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
凌辱, verb, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
脸皮厚, adj, 1.0, 1.0, NN, 1.0, 2.0, , , , , , 
恶劣, adj, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
坟头上的乌鸦－人人憎, idiom, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
深仇大恨, noun, 1.0, 1.0, ND, 9.0, 2.0, , , , , , 
嫉恶如仇, idiom, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
耸人听闻, idiom, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
狼狈万状, adj, 1.0, 1.0, NG, 3.0, 2.0, , , , , , 
视如敝屣, idiom, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
狗崽子, noun, 1.0, 1.0, ND, 7.0, 2.0, NN, 5.0, 2.0, , , 
姘头, noun, 1.0, 1.0, ND, 5.0, 2.0, NN, 5.0, 2.0, , , 
寒酸, adj, 1.0, 1.0, NB, 3.0, 0.0, , , , , , 
坏东西, noun, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
地痞, noun, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
不逞之徒, noun, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
雌老虎, noun, 1.0, 1.0, ND, 5.0, 2.0, NN, 3.0, 2.0, , , 
长舌妇, noun, 1.0, 1.0, ND, 5.0, 2.0, NN, 5.0, 2.0, , , 
又哭又闹, idiom, 1.0, 1.0, NE, 3.0, 2.0, , , , , , 
油乎乎, adj, 1.0, 1.0, NN, 3.0, 0.0, , , , , , 
拗口, adj, 1.0, 1.0, NN, 1.0, 2.0, , , , , , 
残虐, adj, 1.0, 1.0, ND, 5.0, 2.0, NN, 1.0, 2.0, , , 
悲愁, noun, 1.0, 1.0, NB, 5.0, 2.0, NE, 5.0, 2.0, , , 
沉郁, adj, 1.0, 1.0, NE, 3.0, 0.0, , , , , , 
担忧, adj, 1.0, 1.0, NC, 1.0, 0.0, , , , , , 
糟心, adj, 1.0, 1.0, NE, 3.0, 2.0, , , , , , 
异味, noun, 1.0, 1.0, NN, 1.0, 2.0, , , , , , 
委靡, adj, 1.0, 1.0, NE, 1.0, 2.0, , , , , , 
愁眉锁眼, idiom, 1.0, 1.0, NE, 3.0, 0.0, , , , , , 
不顺心, adj, 1.0, 1.0, NE, 3.0, 0.0, , , , , , 
扫兴, adj, 1.0, 1.0, NE, 1.0, 2.0, , , , , , 
忍耐, verb, 1.0, 1.0, NE, 5.0, 0.0, , , , , , 
絮烦, adj, 1.0, 1.0, NN, 1.0, 2.0, , , , , , 
懊悔, adj, 1.0, 1.0, NH, 5.0, 0.0, , , , , , 
难堪, adj, 1.0, 1.0, NE, 1.0, 0.0, , , , , , 
窝气, adj, 1.0, 1.0, NE, 3.0, 0.0, , , , , , 
烦忧, adj, 1.0, 1.0, NE, 1.0, 0.0, , , , , , 
消极, adj, 1.0, 1.0, NE, 5.0, 2.0, NN, 3.0, 2.0, , , 
羊落虎口, idiom, 1.0, 1.0, NC, 5.0, 2.0, , , , , , 
抑郁不平, adj, 1.0, 1.0, NE, 3.0, 2.0, , , , , , 
今仇古恨, noun, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
忧国忧民, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
贫苦, adj, 1.0, 1.0, NE, 5.0, 2.0, NB, 3.0, 2.0, , , 
不知所以, adj, 1.0, 1.0, NL, 5.0, 2.0, , , , , , 
若有所丧, idiom, 1.0, 1.0, NJ, 3.0, 2.0, NB, 3.0, 2.0, , , 
乘兴而来，败兴而归, idiom, 1.0, 1.0, NE, 1.0, 2.0, , , , , , 
无处可逃, idiom, 1.0, 1.0, NJ, 5.0, 0.0, , , , , , 
勉勉强强, adj, 1.0, 1.0, NE, 7.0, 0.0, , , , , , 
费力, adj, 1.0, 1.0, NE, 1.0, 0.0, , , , , , 
败北, adj, 1.0, 1.0, NE, 3.0, 2.0, NJ, 1.0, 2.0, , , 
别嘴, adj, 1.0, 1.0, NE, 1.0, 2.0, , , , , , 
害臊, adj, 1.0, 1.0, NG, 5.0, 0.0, , , , , , 
自愧不如, adj, 1.0, 1.0, PH, 3.0, 0.0, , , , , , 
